Product Type,% of Total Products,Avg Content Ratio,Low Ratio Percentage (<0.2)
10,3.6695086909416363,0.5733731707317072,0.18453145057766368
40,2.9535069951481465,0.5682413971291865,0.12400318979266348
50,1.9796033727448301,0.5916470648423557,0.07555026769779893
60,0.9797917942437232,0.6627479038461538,0.046875
1140,3.1454613971454144,0.5455728715836765,0.14788468738300262
1160,4.655188657025767,0.6005649916519099,0.07336200354161397
1180,0.8997126572141881,0.5920279371727749,0.09424083769633508
1280,5.735079372556409,0.6806984410677618,0.02997946611909651
1281,2.4377031419284942,0.6388124212560387,0.057004830917874394
1300,5.941165386970653,0.6658854120911794,0.03310208126858275
1301,0.9503509350416883,0.5803523866171004,0.18835192069392812
1302,2.9334872108907626,0.6498192613408269,0.051384985949417906
1320,3.8167129869518113,0.6117036136994755,0.06078370873187288
1560,5.974139149276932,0.6569821218214075,0.02168342203824167
1920,5.067360685854256,0.7634239367882872,0.0034859400418312805
1940,0.9456403975693627,0.508612797011208,0.1232876712328767
2060,5.879928399830421,0.7742117788904467,0.021830562787903064
2220,0.9703707192990719,0.6080524417475728,0.03519417475728155
2280,5.605539592067455,0.5627013411764705,0.05168067226890756
2403,5.622026473220595,0.6765816992040217,0.03686635944700461
2462,1.6734184370436667,0.6601209317382126,0.03166783954961295
2522,5.875217862358095,0.5027766093405492,0.1801964321507316
2582,3.0488953789627398,0.6607427176516029,0.0444186944766319
2583,12.022469263742993,0.5115818744245274,0.1699480850230189
2585,2.9393753827311695,0.6075105753205128,0.09695512820512821
2705,3.2514484902727405,0.3597932835929011,0.04961970300615719
2905,1.0268971689669792,0.3697141834862385,0.15481651376146788
